"New ID","Period of care end","Placement Type","Reason placement ended","Legal Statuses"
11650482,07/25/2013,"Q1","E44","28/08/12-25/07/13 C1"
11650482,06/03/2016,"U6","E4B","02/06/16-03/06/16 L1"
11676702,06/12/2015,"U3","E4A","15/04/14-30/10/14 L1; 30/10/14-24/11/14 V2; 24/11/14-12/06/15 C1"
11700799,03/04/2016,"A3","E11","09/07/10-12/07/10 L1; 12/07/10-22/12/11 V2; 22/12/11-06/08/12 C2; 06/08/12-04/03/16 E1"
12079259,10/31/2013,"Q2","E4","10/10/13-31/10/13 J1"
12135703,04/21/2013,"Q2","E8","14/12/06-16/11/07 C1; 16/11/07-21/04/13 C2"
12425799,08/14/2016,"H5","E8","06/05/16-14/08/16 V2"
12499115,12/06/2013,"S1","E8","30/08/10-06/12/13 V2"
12565997,06/17/2016,"U6","E4A","18/05/16-20/05/16 L1; 20/05/16-17/06/16 C1"
12597969,06/06/2012,"Q2","E4","01/06/12-06/06/12 V2"
12597969,06/18/2012,"Q2","E4","16/06/12-18/06/12 L1"
12597969,02/19/2014,"Q2","E4","01/01/14-19/02/14 V2"
12597969,02/27/2015,"U6","E8","24/02/15-27/02/15 V2"
12597969,12/08/2016,"U6","E8","01/04/15-08/12/16 V2"
12623624,02/28/2014,"A3","E11","09/12/10-14/07/11 C1; 14/07/11-19/10/11 C2; 19/10/11-28/02/14 E1"
12766794,10/31/2016,"U6","E8","22/10/16-31/10/16 V2"
12843526,03/10/2015,"Q2","E8","16/11/09-10/03/15 V2"
12843775,01/01/2016,"Q2","E8","11/03/04-05/10/04 V2; 05/10/04-12/10/04 L2; 12/10/04-09/11/04 C1; 09/11/04-12/07/05 C1; 12/07/05-01/01/16 C2"
12953638,09/19/2013,"Q2","E5","31/12/09-12/11/10 V2; 12/11/10-19/09/13 C2"
13015070,09/27/2012,"P1","E4","16/06/12-27/09/12 J1"
13115683,08/31/2016,"U3","E4A","19/05/16-31/08/16 V2"
13237262,06/22/2015,"A4","E12","14/02/14-21/07/14 C1; 21/07/14-22/06/15 E1"
13610224,08/08/2013,"H5","E8","25/04/96-07/05/96 V2; 07/05/96-11/03/97 C1; 11/03/97-08/08/13 C2"
13639623,10/03/2014,"U3","E43","22/04/14-03/10/14 C1"
13724198,11/19/2015,"H5","E9","15/06/15-16/06/15 J1; 16/06/15-19/11/15 V2"
13861855,11/24/2016,"H5","E8","14/04/15-24/11/16 V2"
13955089,11/23/2016,"U3","E43","07/04/16-23/11/16 V2"
14080441,07/13/2012,"A6","E11","18/12/08-27/11/09 C1; 27/11/09-25/01/10 C2; 25/01/10-13/07/12 E1"
14081430,08/14/2014,"Q1","E5","08/09/03-14/05/04 C1; 14/05/04-14/08/14 C2"
14260737,01/03/2013,"H5","E8","05/04/11-03/01/13 V2"
14263418,07/31/2014,"U6","E4A","08/05/14-31/07/14 V2"
14526835,07/17/2013,"Q2","E44","17/10/12-17/07/13 C1"
14567013,04/30/2014,"Q2","E4A","16/01/14-17/01/14 L1; 17/01/14-30/04/14 V2"
14567013,06/04/2014,"U6","E4","08/05/14-04/06/14 V2"
14567013,11/10/2014,"U6","E4B","24/06/14-10/11/14 V2"
14567013,09/16/2015,"U6","E4A","01/12/14-16/09/15 V2"
14567013,01/25/2016,"U3","E8","05/12/15-25/01/16 V2"
14576639,01/01/2016,"Q2","E8","03/05/12-01/01/16 V2"
14772518,06/06/2013,"Q1","E44","23/05/11-11/10/11 V2; 11/10/11-06/06/13 C1"
14826830,02/16/2017,"K1","E9","16/11/16-16/02/17 J1"
14887924,05/03/2012,"Q1","E44","18/04/11-03/05/12 V2"
14915361,01/22/2016,"U6","E4B","24/12/15-26/12/15 L1; 26/12/15-22/01/16 V2"
14944631,03/06/2015,"H5","E8","27/01/15-06/03/15 V2"
14988319,07/25/2013,"U6","E44","20/05/11-25/07/13 V2"
15288781,12/12/2014,"K1","E9","25/03/14-12/12/14 J1"
15337913,02/29/2016,"A6","E12","14/10/13-22/12/14 V2; 22/12/14-29/02/16 E1"
